Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
世界女性高等教育入学率,19.02769089,20.11228943,21.94231987,23.16295052,24.13174057,24.9430294,26.0055294,26.93726921,28.06105042,29.19503021,30.69155,32.57636,34.25506,35.18058,37.77819,38.89846,39.66109,40.27328,40.60496,
世界女性中学入学率,57.35694885,57.83314133,58.76129913,60.17361832,61.16790009,62.3131218,63.57474899,65.41912079,67.2312088,68.40763092,69.84055,71.11477,72.0403,73.89593,74.88155,74.94239,75.23622,74.89559,75.10783,
