IndicatorName,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Children out of school, primary, female",32100000,31400000,30800000,30400000,30300000,31400000,31300000,31700000,32300000
"Children out of school, primary, male",29700000,30200000,28500000,27800000,27200000,27400000,26700000,26800000,26800000
